start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664462561132993973, 1664462561133021190, 1664462561133789125, 1664462561133067431, 1664462561137543524, 1664462561141293821, 1664462561142750482, 140
1664462561153002103, 1664462561153025109, 1664462561153468604, 1664462561153059132, 1664462561156006730, 1664462561158603674, 1664462561159787521, 141
1664462561173037758, 1664462561173057606, 1664462561173485736, 1664462561173094053, 1664462561175945450, 1664462561178536305, 1664462561179730108, 142
1664462561192917215, 1664462561192951439, 1664462561193483568, 1664462561192988581, 1664462561196138470, 1664462561198838188, 1664462561200011160, 143
1664462561213039563, 1664462561213063201, 1664462561221770250, 1664462561221096778, 1664462561225427953, 1664462561229234191, 1664462561230901382, 144
1664462561233259124, 1664462561233300908, 1664462561233896029, 1664462561233348548, 1664462561237261092, 1664462561240742408, 1664462561242313594, 145
1664462561252993370, 1664462561253019359, 1664462561253558002, 1664462561253062843, 1664462561256818877, 1664462561260328461, 1664462561261841363, 146
1664462561272999821, 1664462561273025352, 1664462561273657205, 1664462561273073724, 1664462561276869144, 1664462561280328765, 1664462561281855729, 147
1664462561292993093, 1664462561293018840, 1664462561293549077, 1664462561293062532, 1664462561296861257, 1664462561300270306, 1664462561301749854, 148
1664462561313318914, 1664462561313344849, 1664462561313868600, 1664462561313385626, 1664462561317202126, 1664462561320589603, 1664462561322104288, 149
1664462561332994251, 1664462561333020283, 1664462561333585101, 1664462561333063714, 1664462561336814341, 1664462561340191334, 1664462561341660843, 150
1664462561353202101, 1664462561353231122, 1664462561353803448, 1664462561353282963, 1664462561357052753, 1664462561360469457, 1664462561361991394, 151
1664462561373008940, 1664462561373038565, 1664462561382131604, 1664462561381201571, 1664462561386423112, 1664462561390403314, 1664462561392490330, 152
1664462561393435866, 1664462561393454267, 1664462561394339272, 1664462561393947560, 1664462561396864327, 1664462561399151455, 1664462561400053525, 153
1664462561412861519, 1664462561412872851, 1664462561422359280, 1664462561422071777, 1664462561424025570, 1664462561425706635, 1664462561426520066, 154
1664462561432876358, 1664462561432888225, 1664462561433143065, 1664462561432908170, 1664462561434679075, 1664462561436310507, 1664462561437056061, 155
1664462561452873580, 1664462561452888945, 1664462561476988062, 1664462561476375845, 1664462561480927278, 1664462561485269223, 1664462561487138241, 156
